model,weights,kv,budget,batch,weight_bytes,kv_bytes_per_token,max_length
SmolLM2-135M,int8,int4,256 MB,4,163172736,6120,4299
SmolLM2-135M,int8,int4,256 MB,16,163172736,6120,1074
SmolLM2-135M,int8,int4,256 MB,64,163172736,6120,268
SmolLM2-135M,int8,int4,512 MB,1,163172736,6120,8192
SmolLM2-135M,int8,int4,512 MB,4,163172736,6120,8192
SmolLM2-135M,int8,int4,512 MB,16,163172736,6120,3816
SmolLM2-135M,int8,int4,512 MB,64,163172736,6120,954
SmolLM2-135M,int8,int4,1 GB,1,163172736,6120,8192
SmolLM2-135M,int8,int4,1 GB,4,163172736,6120,8192
SmolLM2-135M,int8,int4,1 GB,16,163172736,6120,8192
SmolLM2-135M,int8,int4,1 GB,64,163172736,6120,2324
SmolLM2-135M,int8,int4,2 GB,1,163172736,6120,8192
SmolLM2-135M,int8,int4,2 GB,4,163172736,6120,8192
SmolLM2-135M,int8,int4,2 GB,16,163172736,6120,8192
SmolLM2-135M,int8,int4,2 GB,64,163172736,6120,5066
SmolLM2-135M,int8,int4,4 GB,1,163172736,6120,8192
SmolLM2-135M,int8,int4,4 GB,4,163172736,6120,8192
SmolLM2-135M,int8,int4,4 GB,16,163172736,6120,8192
SmolLM2-135M,int8,int4,4 GB,64,163172736,6120,8192
SmolLM2-135M,int8,int4,8 GB,1,163172736,6120,8192
SmolLM2-135M,int8,int4,8 GB,4,163172736,6120,8192
SmolLM2-135M,int8,int4,8 GB,16,163172736,6120,8192
SmolLM2-135M,int8,int4,8 GB,64,163172736,6120,8192
SmolLM2-135M,int4,bf16,256 MB,1,111574656,23040,6808
SmolLM2-135M,int4,bf16,256 MB,4,111574656,23040,1702
SmolLM2-135M,int4,bf16,256 MB,16,111574656,23040,425
SmolLM2-135M,int4,bf16,256 MB,64,111574656,23040,106
SmolLM2-135M,int4,bf16,512 MB,1,111574656,23040,8192
SmolLM2-135M,int4,bf16,512 MB,4,111574656,23040,4614
SmolLM2-135M,int4,bf16,512 MB,16,111574656,23040,1153
SmolLM2-135M,int4,bf16,512 MB,64,111574656,23040,288
SmolLM2-135M,int4,bf16,1 GB,1,111574656,23040,8192
SmolLM2-135M,int4,bf16,1 GB,4,111574656,23040,8192
SmolLM2-135M,int4,bf16,1 GB,16,111574656,23040,2610
SmolLM2-135M,int4,bf16,1 GB,64,111574656,23040,652
SmolLM2-135M,int4,bf16,2 GB,1,111574656,23040,8192
SmolLM2-135M,int4,bf16,2 GB,4,111574656,23040,8192
