model,phase,batch,peak_tmacs,bandwidth_gbs,sram,compute_ms,memory_ms,latency_ms
GPT-2,decode,1,0.5,256,1 MB,0.2679,1.3530,1.3531
GPT-2,decode,1,0.5,512,1 MB,0.2679,0.6765,0.6770
GPT-2,decode,1,1.0,4,1 MB,0.1339,86.5902,86.5902
GPT-2,decode,1,1.0,8,1 MB,0.1339,43.2951,43.2951
GPT-2,decode,1,1.0,16,1 MB,0.1339,21.6476,21.6476
GPT-2,decode,1,1.0,32,1 MB,0.1339,10.8238,10.8238
GPT-2,decode,1,1.0,64,1 MB,0.1339,5.4119,5.4119
GPT-2,decode,1,1.0,128,1 MB,0.1339,2.7059,2.7059
GPT-2,decode,1,1.0,256,1 MB,0.1339,1.3530,1.3530
GPT-2,decode,1,1.0,512,1 MB,0.1339,0.6765,0.6765
GPT-2,decode,1,2.0,4,1 MB,0.0670,86.5902,86.5902
GPT-2,decode,1,2.0,8,1 MB,0.0670,43.2951,43.2951
GPT-2,decode,1,2.0,16,1 MB,0.0670,21.6476,21.6476
GPT-2,decode,1,2.0,32,1 MB,0.0670,10.8238,10.8238
GPT-2,decode,1,2.0,64,1 MB,0.0670,5.4119,5.4119
GPT-2,decode,1,2.0,128,1 MB,0.0670,2.7059,2.7059
GPT-2,decode,1,2.0,256,1 MB,0.0670,1.3530,1.3530
GPT-2,decode,1,2.0,512,1 MB,0.0670,0.6765,0.6765
GPT-2,decode,1,4.0,4,1 MB,0.0335,86.5902,86.5902
GPT-2,decode,1,4.0,8,1 MB,0.0335,43.2951,43.2951
GPT-2,decode,1,4.0,16,1 MB,0.0335,21.6476,21.6476
GPT-2,decode,1,4.0,32,1 MB,0.0335,10.8238,10.8238
GPT-2,decode,1,4.0,64,1 MB,0.0335,5.4119,5.4119
GPT-2,decode,1,4.0,128,1 MB,0.0335,2.7059,2.7059
GPT-2,decode,1,4.0,256,1 MB,0.0335,1.3530,1.3530
GPT-2,decode,1,4.0,512,1 MB,0.0335,0.6765,0.6765
GPT-2,decode,1,8.0,4,1 MB,0.0167,86.5902,86.5902
GPT-2,decode,1,8.0,8,1 MB,0.0167,43.2951,43.2951
GPT-2,decode,1,8.0,16,1 MB,0.0167,21.6476,21.6476
GPT-2,decode,1,8.0,32,1 MB,0.0167,10.8238,10.8238
GPT-2,decode,1,8.0,64,1 MB,0.0167,5.4119,5.4119
GPT-2,decode,1,8.0,128,1 MB,0.0167,2.7059,2.7059
GPT-2,decode,1,8.0,256,1 MB,0.0167,1.3530,1.3530
GPT-2,decode,1,8.0,512,1 MB,0.0167,0.6765,0.6765
GPT-2,decode,1,16.0,4,1 MB,0.0084,86.5902,86.5902
GPT-2,decode,1,16.0,8,1 MB,0.0084,43.2951,43.2951
GPT-2,decode,1,16.0,16,1 MB,0.0084,21.6476,21.6476
GPT-2,decode,1,16.0,32,1 MB,0.0084,10.8238,10.8238
GPT-2,decode,1,16.0,64,1 MB,0.0084,5.4119,5.4119
GPT-2,decode,1,16.0,128,1 MB,0.0084,2.7059,2.7059
GPT-2,decode,1,16.0,256,1 MB,0.0084,1.3530,1.3530
GPT-2,decode,1,16.0,512,1 MB,0.0084,0.6765,0.6765
GPT-2,decode,1,32.0,4,1 MB,0.0042,86.5902,86.5902
GPT-2,decode,1,32.0,8,1 MB,0.0042,43.2951,43.2951
GPT-2,decode,1,32.0,16,1 MB,0.0042,21.6476,21.6476
GPT-2,decode,1,32.0,32,1 MB,0.0042,10.8238,10.8238
GPT-2,decode,1,32.0,64,1 MB,0.0042,5.4119,5.4119
GPT-2,decode,1,32.0,128,1 MB,0.0042,2.7059,2.7059
GPT-2,decode,1,32.0,256,1 MB,0.0042,1.3530,1.3530
GPT-2,decode,1,32.0,512,1 MB,0.0042,0.6765,0.6765
GPT-2,decode,1,64.0,4,1 MB,0.0021,86.5902,86.5902
GPT-2,decode,1,64.0,8,1 MB,0.0021,43.2951,43.2951
GPT-2,decode,1,64.0,16,1 MB,0.0021,21.6476,21.6476
GPT-2,decode,1,64.0,32,1 MB,0.0021,10.8238,10.8238
GPT-2,decode,1,64.0,64,1 MB,0.0021,5.4119,5.4119
GPT-2,decode,1,64.0,128,1 MB,0.0021,2.7059,2.7059
GPT-2,decode,1,64.0,256,1 MB,0.0021,1.3530,1.3530
GPT-2,decode,1,64.0,512,1 MB,0.0021,0.6765,0.6765
GPT-2,decode,1,0.5,4,4 MB,0.2679,86.5353,86.5353
GPT-2,decode,1,0.5,8,4 MB,0.2679,43.2677,43.2677
GPT-2,decode,1,0.5,16,4 MB,0.2679,21.6338,21.6338
GPT-2,decode,1,0.5,32,4 MB,0.2679,10.8169,10.8169
