model,phase,batch,point,operator,macs,bytes,intensity,compute_ms,memory_ms,latency_ms,bound
GPT-2,decode,1,mid,Linear,123614976,247568546,0.4993,0.0077,1.9341,1.9341,memory
GPT-2,decode,1,mid,Softmax,368640,294912,1.2500,0.0000,0.0023,0.0023,memory
GPT-2,decode,1,mid,GroupedQueryAttention,9510912,19206144,0.4952,0.0006,0.1500,0.1500,memory
GPT-2,decode,1,mid,GELU,331776,147456,2.2500,0.0000,0.0012,0.0012,memory
GPT-2,decode,1,high,Embedding,0,78770692,0.0000,0.0000,0.1538,0.1538,memory
GPT-2,decode,1,high,LayerNorm,115300,153600,0.7507,0.0000,0.0003,0.0003,memory
GPT-2,decode,1,high,Linear,123614976,247568546,0.4993,0.0019,0.4835,0.4835,memory
GPT-2,decode,1,high,Softmax,368640,294912,1.2500,0.0000,0.0006,0.0006,memory
GPT-2,decode,1,high,GroupedQueryAttention,9510912,19206144,0.4952,0.0001,0.0375,0.0375,memory
GPT-2,decode,1,high,GELU,331776,147456,2.2500,0.0000,0.0003,0.0003,memory
GPT-2,prefill,16,edge,Embedding,0,92154368,0.0000,0.0000,5.7596,5.7596,memory
GPT-2,prefill,16,edge,LayerNorm,944537600,629222400,1.5011,0.4723,39.3264,39.3264,memory
GPT-2,prefill,16,edge,Linear,1012653883392,8896841728,113.8217,506.3269,556.0526,556.0526,memory
GPT-2,prefill,16,edge,Softmax,3019898880,2415919104,1.2500,1.5099,150.9949,150.9949,memory
GPT-2,prefill,16,edge,GroupedQueryAttention,77913391104,3019898880,25.8000,38.9567,188.7437,188.7437,memory
GPT-2,prefill,16,edge,GELU,2717908992,1207959552,2.2500,1.3590,75.4975,75.4975,memory
GPT-2,prefill,16,mid,Embedding,0,92154368,0.0000,0.0000,0.7200,0.7200,memory
GPT-2,prefill,16,mid,LayerNorm,944537600,629222400,1.5011,0.0590,4.9158,4.9158,memory
GPT-2,prefill,16,mid,Linear,1012653883392,5615100928,180.3447,63.2909,43.8680,63.2909,compute
GPT-2,prefill,16,mid,Softmax,3019898880,2415919104,1.2500,0.1887,18.8744,18.8744,memory
GPT-2,prefill,16,mid,GroupedQueryAttention,77913391104,3019898880,25.8000,4.8696,23.5930,23.5930,memory
GPT-2,prefill,16,mid,GELU,2717908992,1207959552,2.2500,0.1699,9.4372,9.4372,memory
GPT-2,prefill,16,high,Embedding,0,92154368,0.0000,0.0000,0.1800,0.1800,memory
GPT-2,prefill,16,high,LayerNorm,944537600,629222400,1.5011,0.0148,1.2289,1.2289,memory
GPT-2,prefill,16,high,Linear,1012653883392,5615100928,180.3447,15.8227,10.9670,15.8227,compute
GPT-2,prefill,16,high,Softmax,3019898880,2415919104,1.2500,0.0472,4.7186,4.7186,memory
GPT-2,prefill,16,high,GroupedQueryAttention,77913391104,3019898880,25.8000,1.2174,5.8982,5.8982,memory
GPT-2,prefill,16,high,GELU,2717908992,1207959552,2.2500,0.0425,2.3593,2.3593,memory
GPT-2,decode,16,edge,Embedding,0,78793762,0.0000,0.0000,4.9246,4.9246,memory
GPT-2,decode,16,edge,LayerNorm,1844800,1305600,1.4130,0.0009,0.0816,0.0816,memory
GPT-2,decode,16,edge,Linear,1977839616,258650144,7.6468,0.9889,16.1656,16.1656,memory
GPT-2,decode,16,edge,Softmax,5898240,4718592,1.2500,0.0029,0.2949,0.2949,memory
GPT-2,decode,16,edge,GroupedQueryAttention,152174592,307298304,0.4952,0.0761,19.2061,19.2061,memory
GPT-2,decode,16,edge,GELU,5308416,2359296,2.2500,0.0027,0.1475,0.1475,memory
GPT-2,decode,16,mid,Embedding,0,78793762,0.0000,0.0000,0.6156,0.6156,memory
GPT-2,decode,16,mid,LayerNorm,1844800,1305600,1.4130,0.0001,0.0102,0.0102,memory
GPT-2,decode,16,mid,Linear,1977839616,255135776,7.7521,0.1236,1.9932,1.9932,memory
GPT-2,decode,16,mid,Softmax,5898240,4718592,1.2500,0.0004,0.0369,0.0369,memory
GPT-2,decode,16,mid,GroupedQueryAttention,152174592,307298304,0.4952,0.0095,2.4008,2.4008,memory
GPT-2,decode,16,mid,GELU,5308416,2359296,2.2500,0.0003,0.0184,0.0184,memory
GPT-2,decode,16,high,Embedding,0,78793762,0.0000,0.0000,0.1539,0.1539,memory
GPT-2,decode,16,high,LayerNorm,1844800,1305600,1.4130,0.0000,0.0026,0.0026,memory
GPT-2,decode,16,high,Linear,1977839616,255135776,7.7521,0.0309,0.4983,0.4983,memory
GPT-2,decode,16,high,Softmax,5898240,4718592,1.2500,0.0001,0.0092,0.0092,memory
GPT-2,decode,16,high,GroupedQueryAttention,152174592,307298304,0.4952,0.0024,0.6002,0.6002,memory
GPT-2,decode,16,high,GELU,5308416,2359296,2.2500,0.0001,0.0046,0.0046,memory
SmolLM2-135M,prefill,1,edge,Embedding,0,57213952,0.0000,0.0000,3.5759,3.5759,memory
SmolLM2-135M,prefill,1,edge,RotaryEmbedding,41369600,55182400,0.7497,0.0207,3.4489,3.4489,memory
SmolLM2-135M,prefill,1,edge,RMSNorm,72052224,72028800,1.0003,0.0360,4.5018,4.5018,memory
SmolLM2-135M,prefill,1,edge,Linear,68853694464,742785024,92.6967,34.4268,46.4241,46.4241,memory
SmolLM2-135M,prefill,1,edge,Softmax,353894400,283115520,1.2500,0.1769,17.6947,17.6947,memory
SmolLM2-135M,prefill,1,edge,GroupedQueryAttention,9130475520,353894400,25.8000,4.5652,22.1184,22.1184,memory
SmolLM2-135M,prefill,1,edge,SiLU,47185920,94371840,0.5000,0.0236,5.8982,5.8982,memory
SmolLM2-135M,prefill,1,mid,Embedding,0,57213952,0.0000,0.0000,0.4470,0.4470,memory
SmolLM2-135M,prefill,1,mid,RotaryEmbedding,41369600,55182400,0.7497,0.0026,0.4311,0.4311,memory
SmolLM2-135M,prefill,1,mid,RMSNorm,72052224,72028800,1.0003,0.0045,0.5627,0.5627,memory
SmolLM2-135M,prefill,1,mid,Linear,68853694464,687341568,100.1739,4.3034,5.3699,5.3699,memory
SmolLM2-135M,prefill,1,mid,Softmax,353894400,283115520,1.2500,0.0221,2.2118,2.2118,memory
SmolLM2-135M,prefill,1,mid,GroupedQueryAttention,9130475520,353894400,25.8000,0.5707,2.7648,2.7648,memory
SmolLM2-135M,prefill,1,mid,SiLU,47185920,94371840,0.5000,0.0029,0.7373,0.7373,memory
SmolLM2-135M,prefill,1,high,Embedding,0,57213952,0.0000,0.0000,0.1117,0.1117,memory
SmolLM2-135M,prefill,1,high,RotaryEmbedding,41369600,55182400,0.7497,0.0006,0.1078,0.1078,memory
SmolLM2-135M,prefill,1,high,RMSNorm,72052224,72028800,1.0003,0.0011,0.1407,0.1407,memory
SmolLM2-135M,prefill,1,high,Linear,68853694464,687341568,100.1739,1.0758,1.3425,1.3425,memory
SmolLM2-135M,prefill,1,high,Softmax,353894400,283115520,1.2500,0.0055,0.5530,0.5530,memory
SmolLM2-135M,prefill,1,high,GroupedQueryAttention,9130475520,353894400,25.8000,0.1427,0.6912,0.6912,memory
SmolLM2-135M,prefill,1,high,SiLU,47185920,94371840,0.5000,0.0007,0.1843,0.1843,memory
SmolLM2-135M,decode,1,edge,Embedding,0,56624258,0.0000,0.0000,3.5390,3.5390,memory
SmolLM2-135M,decode,1,edge,RotaryEmbedding,80800,107842,0.7492,0.0000,0.0067,0.0067,memory
SmolLM2-135M,decode,1,edge,RMSNorm,140727,210816,0.6675,0.0001,0.0132,0.0132,memory
